flyer_name,product_name,unit_promo_price,uom,least_unit_for_promo,save_per_unit,discount,organic
week_2_page_1,Chicken Breast,2.99,lb,1,3,,0
week_2_page_1,Cherries,2.99,lb,1,4,,0
week_2_page_1,Organic Red & Green Seedless Grapes,2.99,lb,1,1,,1
week_2_page_1,Jumbo Key West Pink Shrimp,12.99,lb,1,4,,0
week_2_page_1,Organic Blueberries,3.99,1 Pint,1,2,,1
week_2_page_1,Organic Broccoli,1.99,lb,1,2,,1
week_2_page_1,BRAND WIDE SALE,,,1,,0.25,0
week_2_page_1,Cranberry Pecan Chicken Salad,7.99,lb,1,2,,0
week_2_page_1,Fresh Hop,2.99,lb,1,2,,0
week_2_page_1,Ground Chuck,4.99,lb,1,2.5,,0
week_2_page_2,Grilled Chicken Caesar Salad,3.99,7 oz,1,1,,0
week_2_page_2,Oven Roasted Turkey Breast,9.99,lb,1,2,,0
week_2_page_2,Vegan Mock Chicken Salad,9.99,lb,1,1,,0
week_2_page_2,Sharp Cheddar Cheese,7.99,lb,1,2,,0
week_2_page_2,Organic PB&J Smoothie,,20 oz,1,1,,1
week_2_page_2,Organic Hamburger & Hot Dog Buns,4.49,8 Pack,1,0.5,,1
week_2_page_2,Cake Slices,2.99,,1,0.8,,0
week_2_page_2,5-Pack Large Cookies,5.99,1 Pack,1,0.3,,0
week_2_page_2,4-Pack Croissants,5.99,1 Pack,1,1,,0
week_2_page_2,Pinot Grigio,0.99,4 can,1,5,,0
week_2_page_2,Smoked Rosemary Promontory,16.99,lb,1,7,,0
week_2_page_2,All Day Session IPA,16.99,15 Pack,1,3,,0
week_2_page_3,Super Pro Purified Water,2,,2,0.69,,0
week_2_page_3,Chocolate Bars,3,3 oz,2,39,,0
week_2_page_3,Boomchickapop,3,4.4-7 oz,2,0.69,,0
week_2_page_3,Big Trouble,8.99,12 oz,1,3,,0
week_2_page_3,Pure Coconut water,3.5,33.8 oz,2,49,,0
week_2_page_3,Grass Fed Whey Powder,,,1,,0.25,0
week_2_page_3,Organic Deluxe Mac & Cheese,3.5,12-14 oz,2,49,,1
week_2_page_3,Frozen Organic Vegetables,2,Fr oz,2,0.99,,1
week_2_page_3,Gelato,4.99,their bag,1,1,,0
week_2_page_3,Frozen Fruit Bars,2.49,Fr oz,1,0.5,,0
week_2_page_3,Organic Strawberry Conserves,3.99,16.5 oz,1,,,1
week_2_page_3,Organic Deluxe Mac & Cheese,,12-14 oz,2,49,0.5,1
week_2_page_3,Big Trouble,,12 oz,1,3,0.5,0
week_2_page_3,Boomchickapop,,4.4-7 oz,2,0.69,0.5,0
week_2_page_4,Chicken Breast Kabobs,3.99,lb,1,3,,0
week_2_page_4,Whole Seedless Watermelons,4.99,,1,2,,0
week_2_page_4,Chicken Kabobs,7.99,lb,1,3,,0
week_2_page_4,Maryland Crab Cakes,3.5,3 oz,2,49,,0
week_2_page_4,Salsa and Guacamole,1,lb,1,,,0
week_2_page_4,Fresh Hop,4,6 oz,3,2.99,,0
week_2_page_4,Smoked Salmon,5,4 oz,2,0.99,,0
week_2_page_4,Organic Zucchini & Yellow Squash,1.99,lb,1,1.5,,1
week_2_page_4,Organic Kale,2,,2,0.5,,1
week_2_page_4,Signature & Carolina Coleslaws,4.99,lb,1,1,,0
week_2_page_4,Heirloom Tomatoes,3.99,lb,1,1,,0
week_2_page_4,Free Range Large Brown Eggs,3.5,D oz,2,49,,0
week_2_page_4,Large 16 Pizza,3.99,D oz,2,0.5,,0
week_3_page_1,Fresh Hop,,,1,1.3,0.5,0
week_3_page_1,Fresh Hop,1.29,lb,1,1.3,0.5,0
week_3_page_1,Ground Chuck,3.99,lb,1,4,0.5,0
week_3_page_1,Cherries,2.99,lb,1,4,0.57,0
week_3_page_1,Organic Blueberries,3.99,1 Pint,1,2,0.33,1
week_3_page_1,Wild Alaska Cod Fillets,9.99,lb,1,5,0.33,0
week_3_page_1,Organic Red & Green Seedless Grapes,2.99,lb,1,1,0.25,1
week_3_page_1,BRAND WIDE SALE,,,1,,0.2,0
week_3_page_1,Whole NY Strip Loins,6.99,lb,1,3,0.3,0
week_3_page_1,Original Chicken Salad,7.99,lb,1,2,0.2,0
week_3_page_1,Organic Red & Black Plums,2.49,lb,1,1,0.29,1
week_3_page_2,Asparagus with Parmesan Vinaigrette,7.99,lb,1,2,0.2,0
week_3_page_2,Vegan Mock Chicken Salad,0.99,lb,1,1,0.5,0
week_3_page_2,Kale Caesar Salad,,8 oz,2,2.495,0.5,0
week_3_page_2,Maple Honey Ham,9.99,lb,1,2,0.17,0
week_3_page_2,Pepper Jack Cheese,7.99,lb,1,2,0.2,0
week_3_page_2,Organic Kale Lemonade,,20 oz,1,1,,1
week_3_page_2,Gluten-Free Bread,5.99,7-14.1 oz,1,1,0.14,0
week_3_page_2,Natural Hamburger & Hot Dog Buns,3.99,17 oz,1,0.5,0.11,0
week_3_page_2,5-Pack Cookie Sandwiches,5.99,1 Pack,1,1,0.14,0
week_3_page_2,Hot Dogs,25.99,17 oz,1,4,0.13,0
week_3_page_2,Gluten-Free Bread,,7-14.1 oz,1,1,0.5,0
week_3_page_3,Sangria,14.99,750 ml,1,2,0.12,0
week_3_page_3,Vinho Verde,8.99,750 ml,1,5,0.36,0
week_3_page_3,Craft Beer,8.49,6 can,1,1.5,0.15,0
week_3_page_3,Meadowkaas Spring Milk Gouda,9.99,lb,1,3,0.23,0
week_3_page_3,Mini Croccantini Crackers,3.5,6 oz,2,0.99,0.22,0
week_3_page_3,Bulk Body Care,2.49,lb,1,0.5,0.17,0
week_3_page_3,Bulk Body Care,0.99,lb,1,2,0.67,0
week_3_page_3,Yogurt,1,5.3 oz,10,0.25,0.2,0
week_3_page_3,Garden Herb & Old Fashioned Potato Salad,,,1,,0.2,0
week_3_page_3,Organic Frozen Fruit,3.49,Fr oz,1,0.5,0.13,1
week_3_page_3,Organic Pickles,3.99,16-24 oz,1,0.5,0.11,1
week_3_page_3,Organic Ketchup,1.99,20 oz,1,0.5,0.2,1
week_3_page_3,Refrigerated Teas,1.69,59 oz,1,1,0.37,0
week_3_page_3,Organic Mustards,1.79,12 oz,1,0.5,0.22,1
week_3_page_3,Cookies,3.99,20 oz,1,,,0
week_3_page_3,Cookies,,20 oz,2,,0.5,0
week_3_page_4,Super Lump Crab Cakes,4,3 oz,3,0.99,0.2,0
week_3_page_4,Fresh Hop,2.99,lb,1,1,0.25,0
week_3_page_4,Black & White Cookies,7.99,lb,1,,,0
week_3_page_4,Wild American Shrimp,9.99,lb,1,3,0.23,0
week_3_page_4,Boneless Ribeyes,13.99,lb,1,3,0.18,0
week_3_page_4,Water,2,1.5 liter,2,0.49,0.2,0
week_3_page_4,Frozen Fries,2.5,Fr oz,2,1.49,0.37,0
week_3_page_4,Salmon Burgers,3.5,4 oz,2,0.49,0.12,0
week_3_page_4,Organic Zucchini & Yellow Squash,1.99,lb,1,1.5,0.43,1
week_3_page_4,Organic Sweet Vidalia,1.49,lb,1,0.5,0.25,1
week_3_page_4,Organic Celery,2,,2,1.99,0.5,1
week_3_page_4,Organic 3 lb. Bag Gala Apples,1.25,,4,0.75,0.38,1
week_3_page_4,Organic 3 lb. Bag Gala Apples,,,4,0.75,0.5,1
week_4_page_1,signature Chicken Tortilla Soup,12..99,,1,,,0
week_4_page_1,signature Chicken Tortilla Soup,,,1,,,0
week_4_page_1,BBQ Edamame Tofu,.$3,,1,,,0
week_4_page_1,Organic Red & Green Seedless Grapes,1.99,lb,1,2,0.5,1
week_4_page_1,Fresh Hop,3.99,lb,1,4,0.5,0
week_4_page_1,Wild Alaska Cod Fillets,10.99,lb,1,4,0.27,0
week_4_page_1,Organic Blueberries,9.99,lb,1,3,0.23,1
week_4_page_1,Organic Blueberries,3.99,1 Pint,1,3,0.43,1
week_4_page_1,Organic Broccoli,1.99,lb,1,2,0.5,1
week_4_page_1,Pollinator Friendly Almond Butter,7.99,lb,1,1,0.11,0
week_4_page_1,Napa Chicken Salad,7.99,lb,1,2,0.2,0
week_4_page_1,Peaches,1.69,lb,1,1.3,0.43,0
week_4_page_2,Broccoli Bacon Salad,6.99,lb,1,2,0.22,0
week_4_page_2,Vegan Chicken Salads,9.99,lb,1,1,0.09,0
week_4_page_2,Crispy Chicken Salad,3.99,9 oz,1,1,0.2,0
week_4_page_2,Green Goddess Smoothie,,20 oz,1,2,,0
week_4_page_2,Medium Cheddar Cheese,7.99,lb,1,2,0.2,0
week_4_page_2,Juice,0.99,lb,1,2,0.67,0
week_4_page_2,Gluten-Free Bread,5.49,16-18 oz,1,0.5,0.08,0
week_4_page_2,4-Pack Muffins,5.99,1 Pack,1,1,0.14,0
week_4_page_2,Fresh Mozzarella,6.99,lb,1,4,0.36,0
week_4_page_2,Organic Hamburger & Hot Dog Buns,4.49,8 Pack,1,0.5,0.1,1
week_4_page_2,4-Pack Croissants,5.99,1 Pack,1,1,0.14,0
week_4_page_3,Big Tomato,6.99,750 ml,1,1,0.13,0
week_4_page_3,Lime Pilsner & Golden Ale,8.49,6 Pack,1,1,0.11,0
week_4_page_3,Zero Calorie Soda,3.99,6 Pack,1,2,0.33,0
week_4_page_3,Non-Fat Greek Yogurt,1,5.3 oz,10,0.25,0.2,0
week_4_page_3,Organic Cold Cereal,3.5,10-14 oz,2,0.99,0.22,1
week_4_page_3,Appassimento,15.99,750 ml,1,4,0.2,0
week_4_page_3,Pinot Grigio,15.99,,1,4,0.2,0
week_4_page_3,Alkaline Water+ Electrolytes,2.5,1.06 gallon,2,0.49,0.16,0
week_4_page_3,Organic Honeycrisp Apple Juice,4.99,32 oz,1,,,1
week_4_page_3,Laundry Detergent,13.99,100 oz,1,1,0.07,0
week_4_page_3,Organic Raw Apple Cider Vinegar,3.99,32 oz,1,1,0.2,1
week_4_page_3,Organic Tahini,5.99,16 oz,1,1,0.14,1
week_4_page_3,Organic Tahini,,16 oz,1,1,0.5,1
week_4_page_3,Alkaline Water+ Electrolytes,,1.06 gallon,2,0.49,0.5,0
week_4_page_4,Fresh Hop,3,7 oz,2,0.99,0.25,0
week_4_page_4,Grass Fed Whey Powder,14.99,lb,1,4,0.21,0
week_4_page_4,Fresh Hop,4.99,lb,1,3,0.38,0
week_4_page_4,East Coast White Shrimp,0.99,lb,1,4,0.8,0
week_4_page_4,Real Blue Crab Dips,5,5 oz,2,0.99,0.17,0
week_4_page_4,Lemon Caper Salmon Cake,3.5,4 oz,2,0.49,0.12,0
week_4_page_4,5-Pack Non-GMO Corn,3.5,,2,1.49,0.3,0
week_4_page_4,Food-Based Minerals,,,1,,0.2,0
week_4_page_4,Party Dips & Spreads,,,1,,0.5,0
week_4_page_4,Fresh Hop,1.99,lb,1,2,0.5,0
week_4_page_4,Organic Grape Tomatoes,3,1 Pint,2,0.99,0.25,1
week_4_page_4,Mini Orchid,7.99,,1,3,0.27,0
week_4_page_4,Grass Fed Whey Powder,,,1,,0.25,0
week_4_page_4,Whole Seedless Watermelon,4..99,,1,2,,0
week_4_page_4,Lemon Caper Salmon Cake,,4 oz,2,0.49,0.5,0
week_4_page_4,5-Pack Non-GMO Corn,,,2,1.49,0.5,0
week_5_page_1,Organic Green Cabbage,,,1,2,0.5,1
week_5_page_1,Chicken Breast,2.99,lb,1,3,0.5,0
week_5_page_1,Organic Red & Green Seedless Grapes,1.99,lb,1,2,0.5,1
week_5_page_1,Ground Chuck,3.99,lb,1,4,0.5,0
week_5_page_1,Organic Strawberries,3.5,,2,2.49,0.42,1
week_5_page_1,Party Dips & Spreads,9.99,lb,1,5,0.33,0
week_5_page_1,Certified Organic Chicken Breasts,3.99,1 Pint,1,2,0.33,1
week_5_page_1,Refrigerated Probiotics,,,1,,0.2,0
week_5_page_1,Curry Chicken Salad,7.99,lb,1,2,0.2,0
week_5_page_1,Blackened Chicken Salad Wrap,5.99,,1,1,0.14,0
week_5_page_1,Cherries,2.99,lb,1,4,0.57,0
week_5_page_2,Organic Flour Tortillas,2.5,6 Pack,2,0.495,0.17,1
week_5_page_2,Kid's Wheat & White Loaf Bread,5.49,18 oz,1,0.8,0.13,0
week_5_page_2,Morning & Snacking Rounds,3.99,14 Pack,1,0.5,0.11,0
week_5_page_2,10-Pack Mini Cookies,3.99,1 Pack,1,0.5,0.11,0
week_5_page_2,Snackables & Samplers,,1 Pack,1,1,,0
week_5_page_2,Sharp & Medium Cheddar Cheese,7.99,lb,1,2,0.2,0
week_5_page_2,Oven Roasted & Applewood Smoked Turkey Breast,9.99,lb,1,2,0.17,0
week_5_page_2,Packaged Bacon,6.99,1 Pack,1,1,0.13,0
week_5_page_2,Red Sunset Juice,,20 oz,1,1,,0
week_5_page_2,Cabernet & Chardonnay,5,750 ml,2,1.99,0.28,0
week_5_page_2,Greek Salad,3.99,7 oz,1,1,0.2,0
week_5_page_2,Broccoli Cranberry Salad,6.99,lb,1,1,0.13,0
week_5_page_3,Two Hearted Ale,9.99,6 Pack,1,1,0.09,0
week_5_page_3,Jersey Fresh Chese,9.99,lb,1,3,0.23,0
week_5_page_3,Dark & Milk Chocolate French Marshmallows,,7 oz,2,2.995,0.5,0
week_5_page_3,Almond Butters,.$9,16 oz,1,3,,0
week_5_page_3,Bulk Body Care,4.99,lb,1,1,0.17,0
week_5_page_3,Granola,2.5,32 oz,2,0.79,0.24,0
week_5_page_3,Gluten Free Donuts,3.99,10.4-14 oz,1,2,0.33,0
week_5_page_3,Bulk Body Care,9.99,lb,1,2,0.17,0
week_5_page_3,Gluten-Free Bread,1.5,5.3-7.05 oz,2,0.19,0.11,0
week_5_page_3,Organic Laundry Detergent,12.99,100 oz,1,2,0.13,1
week_5_page_4,Chicken Breast Kabobs,3.99,lb,1,3,0.43,0
week_5_page_4,Sausage,5,12 oz,2,0.99,0.17,0
week_5_page_4,Fresh Hop,,,1,3.75,0.5,0
week_5_page_4,Fresh Hop,3.74,lb,1,3.75,0.5,0
week_5_page_4,Crab & Goat Cheese Stuffed Mushrooms,1,2 oz,10,0.29,0.22,0
week_5_page_4,Breaded Pork & Chicken Cutlets,4,7 oz,2,0.99,0.2,0
week_5_page_4,Crab & Goat Cheese Stuffed Mushrooms,2.5,2 oz,4,1.49,0.37,0
week_5_page_4,Organic Pink Lady Apples,2.49,lb,1,1,0.29,1
week_5_page_4,Organic Zucchini & Yellow Squash,1.99,lb,1,1.5,0.43,1
week_5_page_4,Organic Celery,2,,2,1.99,0.5,1
week_5_page_4,Jar & Stick Deodorant,,,1,,0.2,0
week_5_page_4,Turmeric Formulas,,per capsule,1,,0.25,0
week_5_page_4,Wild Alaska Cod Fillets,,3-4 oz,1,,0.2,0
week_5_page_4,Breaded Pork & Chicken Cutlets,,7 oz,2,0.99,0.5,0
week_6_page_1,BBQ Ribs Baby Back-Full Rack,12.99,,1,3,0.19,0
week_6_page_1,Whole Chickens,1.29,lb,1,1.3,0.5,0
week_6_page_1,Pork Baby Back Ribs,3.99,lb,1,4,0.5,0
week_6_page_1,Organic Red & Green Seedless Grapes,1.99,lb,1,2,0.5,1
week_6_page_1,Strips & Ribeyes,9.99,lb,1,3,0.23,0
week_6_page_1,Organic Blueberries,3.99,1 Pint,1,2,0.33,1
week_6_page_1,Cherries,3.99,lb,1,3,0.43,0
week_6_page_1,Grass Fed Whey Powder,9.99,lb,1,3,0.23,0
week_6_page_1,Cranberry Pecan Chicken Salad,7.99,lb,1,2,0.2,0
week_6_page_1,Wild Alaska Cod Fillets,6.99,lb,1,5,0.42,0
week_6_page_1,Certified Organic Chicken Breasts,5.99,lb,1,3,0.33,1
week_6_page_1,Southern Peaches,1.99,lb,1,1,0.33,0
week_6_page_2,Applewood Smoked & Maple Honey Ham,0.99,lb,1,2,0.67,0
week_6_page_2,Energy Seed Salad,3.99,7 oz,1,1,0.2,0
week_6_page_2,Cranberry Pecan Chicken Salad Croissant,4.99,,1,2,0.29,0
week_6_page_2,Swiss Cheese,7.99,lb,1,2,0.2,0
week_6_page_2,Organic Loaf Bread,5.49,18 oz,1,0.8,0.13,1
week_6_page_2,Appalachian Smoothie,,20 oz,1,1,,0
week_6_page_2,5-Pack Cookie Sandwiches,15.99,lb,1,5,0.24,0
week_6_page_2,5-Pack Cookies,4.99,1 Pack,1,5,0.5,0
week_6_page_2,4-Pack Croissants,5.99,1 Pack,1,1,0.14,0
week_6_page_2,Sangria,14.99,750 ml,1,2,0.12,0
week_6_page_2,New York Strips,7.99,6 Pack,1,2,0.2,0
week_6_page_2,Olive Bar,6.99,lb,1,3,0.3,0
week_6_page_2,Coffee,7.99,12 oz,1,4,0.33,0
week_6_page_2,Organic Loaf Bread,,18 oz,1,0.8,0.5,1
week_6_page_3,Organic Peanut Butter,5.99,16 oz,2,0.5,0.08,1
week_6_page_3,Salad,3.5,16 oz,1,1,0.22,0
week_6_page_3,Bulk Body Care,3.49,lb,1,0.5,0.13,0
week_6_page_3,Organic Buchi,3,12 oz,2,0.69,0.19,1
week_6_page_3,Garden Herb & Old Fashioned Potato Salad,,,1,,0.2,0
week_6_page_3,Liquid Laundry Detergent,12.99,100 oz,1,2,0.13,0
week_6_page_3,Cereal,3.5,10-14 oz,2,0.99,0.22,0
week_6_page_3,Toothpastes,,,1,,0.2,0
week_6_page_3,Applesauce,2.99,46 oz,1,1,0.25,0
week_6_page_3,Organic 3 lb. Bag Gala Apples,2.5,64 oz,2,0.49,0.16,1
week_6_page_3,Alkaline Electrolyte Water,1,,5,0.49,0.33,0
week_6_page_3,Organic Mac & Cheese & Shells & Cheddar,1.79,6 oz,1,,,1
week_6_page_3,Organic 3 lb. Bag Gala Apples,,64 oz,2,0.49,0.5,1
week_6_page_3,Organic Peanut Butter,,16 oz,2,0.5,0.5,1
week_6_page_4,Grass Fed Whey Powder,14.99,lb,1,4,0.21,0
week_6_page_4,Ground Chuck,3.99,lb,1,3.5,0.47,0
week_6_page_4,Grass Fed Whey Powder,8.99,lb,1,3,0.25,0
week_6_page_4,Real Blue Crab Dips,5,5 oz,2,0.99,0.17,0
week_6_page_4,Fresh Hop,10.99,lb,1,4,0.27,0
week_6_page_4,Dips,0.99,lb,1,3,0.75,0
week_6_page_4,Organic Green Kale,2,,2,0.5,0.2,1
week_6_page_4,Organic Pink Lady Apples,2.49,lb,1,1,0.29,1
week_6_page_4,Organic Broccoli,2.49,lb,1,1.5,0.38,1
week_6_page_4,Salsa & Guacamole,1,lb,1,,,0
week_6_page_4,Whole Seedless Watermelon,4.99,,1,2,0.29,0
week_6_page_4,Fresh Hop,3.79,lb,1,,,0
week_7_page_1,Organic Red & Green Seedless Grapes,1.99,lb,1,2,0.5,1
week_7_page_1,Cherries,3.99,lb,1,3,0.43,0
week_7_page_1,Wild Alaskan Salmon Fillet,11.99,lb,1,3,0.2,0
week_7_page_1,Organic Blueberries,3.99,1 Pint,1,2,0.33,1
week_7_page_1,Ground Sirloin or Round,4.99,lb,1,3,0.38,0
week_7_page_1,BRAND WIDE SALE,,,1,,0.2,0
week_7_page_1,Blackened Chicken Salad,7.99,lb,1,2,0.2,0
week_7_page_1,House-Made Pork Sausages,2.99,lb,1,2,0.4,0
week_7_page_1,"Boneless, Skinless Chicken Thighs",2.99,lb,1,1,0.25,0
week_7_page_2,Garden Herb & Old Fashioned Potato Salad,4.99,lb,1,1,0.17,0
week_7_page_2,Organic Kale Lemonade,,20 oz,1,1,,1
week_7_page_2,House-Made Roast Beef Baguette,4.99,Beef bag,1,,,0
week_7_page_2,Oven Roasted & Applewood Smoked Turkey,0.99,lb,1,2,0.67,0
week_7_page_2,Kale Caesar Salad,,8 oz,1,4.99,0.5,0
week_7_page_2,2-Pack Cups,,,,,,
week_7_page_2,5-Pack Cookie Sandwiches,,,,,,
week_7_page_2,Cheese Shreds & Slices,,,,,,
week_7_page_2,Big Tomato,,750 ml,,,,
week_7_page_2,Rose,,750 ml,,,,
week_7_page_2,Coffee,,12 oz,,,,
week_7_page_2,All Bacon,,750 ml,,,,
week_7_page_3,Kettle Chips,3,8.5 oz,1,1.58,,0
week_7_page_3,Liquid Dish Soap,,22-25 oz,,,,
week_7_page_3,Organic DHA Milk,,Half gallon,,,,
week_7_page_3,Organic Canned Tomatoes,,28 oz,,,,
week_7_page_3,Organic Cold Cereal & Granola,,8.6-16 oz,,,,
week_7_page_3,Frozen Kid's Meals,,7-8 oz,,,,
week_7_page_3,Coconut Water,,,,,,
week_7_page_3,Free Range Large Brown Eggs,,4.5-12 oz,,,,
week_7_page_3,Country Style Pork Ribs,,,,,,
week_7_page_3,Probiotics,,,,,,
week_7_page_3,Wisconsin Reserve Sharp Cheddar,,,,,,
week_7_page_3,Nail Polish,,,,,,
week_7_page_3,Refrigerated Probiotics,,,,,,
week_7_page_3,Organic Cold Cereal & Granola,,8.6-16 oz,,,,
week_7_page_3,Free Range Large Brown Eggs,,4.5-12 oz,,,,
week_7_page_4,Day Boat Sea Scallops,17.99,lb,1,4,0.22,0
week_7_page_4,Flank Steak,9.99,lb,1,3,0.23,0
week_7_page_4,Salmon Burgers,3.5,4 oz,2,0.49,0.125,0
week_7_page_4,House-Made Grill-Ready Burgers,3,7 oz,2,0.99,0.25,0
week_7_page_4,Whole Seedless Watermelon,4.99,,1,2,0.29,0
week_7_page_4,Organic Kale,2,,2,0.5,0.2,1
week_7_page_4,Organic Celery,1.99,,1,2,0.5,1
week_7_page_4,Organic Pink Lady Apples,1.99,lb,1,1.5,0.43,1
week_7_page_4,Organic Zucchini & Yellow Squash,2.49,lb,1,1,0.29,1
week_7_page_4,Mixed Fruit Tub,3.79,lb,1,0.2,0.05,0
week_7_page_4,Salsa & Guacamole,,lb,1,1,,0
week_7_page_4,5-Pack Non-GMO Corn,3.5,5 Pack,2,1.49,0.3,0
week_8_page_1,signature Chicken Tortilla Soup,11..99,,1,,,0
week_8_page_1,signature Chicken Tortilla Soup,,,1,,,0
week_8_page_1,signature Chicken Tortilla Soup,.$3,,1,,,0
week_8_page_1,Ground Chuck,4.99,lb,1,3,0.38,0
week_8_page_1,Organic Red & Green Seedless Grapes,1.99,lb,1,2,0.5,1
week_8_page_1,Blueberries,2.99,1 Pint,1,2,0.4,0
week_8_page_1,Fresh Hop,,6 oz,1,6.99,0.5,0
week_8_page_1,Blueberries,,1 Pint,1,,,0
week_8_page_1,Original Chicken Salad,,,1,,,0
week_8_page_1,Wild American White Shrimp,,lb. bag,1,,,0
week_8_page_1,Fresh Hop,,,1,,,0
week_8_page_1,Wild Alaska Cod Fillets,,,1,,,0
week_8_page_1,Wild Alaska Cod Fillets,,3-4 oz,1,,,0
week_8_page_2,Organic PB&J Smoothie,,20 oz,1,1,,1
week_8_page_2,PB&J Smoothie,,Bar oz,1,,0.2,0
week_8_page_2,Croissant Sandwiches,4.99,,1,1,0.17,0
week_8_page_2,Spring Vegetable Salad,4.99,lb,1,2,0.29,0
week_8_page_2,Grilled Chicken Caesar Salad,3.99,7 oz,1,1,0.2,0
week_8_page_2,Swiss Cheese,7.99,lb,1,2,0.2,0
week_8_page_2,Cupcakes,3,4 oz,1,0.98,,0
week_8_page_2,4-Pack Muffins,,,1,,,0
week_8_page_2,New York Strips,,6 Pack,1,,,0
week_8_page_2,Organic Hamburger & Hot Dog Buns,,8 Pack,1,,,1
week_8_page_2,Cupcakes,,4 oz,1,,,0
week_8_page_3,Organic Promise & Go Lean Cereal,3.99,9.5-16.3 oz,1,1,0.2,1
week_8_page_3,Refrigerated Almond Milk,3.5,Half gallon,1,0.98,,0
week_8_page_3,Kombucha,,12 oz,1,,,0
week_8_page_3,Digestive Enzymes,,,1,,,0
week_8_page_3,Jar & Stick Deodorant,,,1,,,0
week_8_page_3,Bunny Crackers,,6.75-10 oz,1,,,0
week_8_page_3,Turmeric Formulas,,per capsule,1,,,0
week_8_page_3,Coconut Oil Potato Chips,,5 oz,1,,,0
week_8_page_3,Organic Applesauce,,24 oz,1,,,1
week_8_page_3,Organic Microwavable Popcorn,,9-10.5 oz,1,,,1
week_8_page_3,Multigrain Snack Bars,,5 Pack,1,,,0
week_8_page_3,Organic Honeycrisp Apple Juice,,32 oz,1,,,1
week_8_page_3,Multigrain Snack Bars,,5 Pack,1,,,0
week_8_page_3,Coconut Oil Potato Chips,,5 oz,1,,,0
week_8_page_3,Refrigerated Almond Milk,,Half gallon,1,,,0
week_8_page_4,Organic Gala Apples,2.49,lb,1,1,0.29,1
